Ticker,sector,company
ADANIENT,MISCELLANEOUS,ADANI ENTERPRISES
ADANIPORTS,MISCELLANEOUS,ADANI PORTS & SEZ
APOLLOHOSP,MISCELLANEOUS,APOLLO HOSPITALS
ASIANPAINT,PAINTS,ASIAN PAINTS
AXISBANK,BANKING,AXIS BANK
BAJAJ-AUTO,AUTOMOBILES,BAJAJ AUTO
BAJAJFINSV,FINANCE,BAJAJ FINANCE
BAJFINANCE,FINANCE,BAJAJ FINSERV
BEL,DEFENCE,BHARAT ELECTRONICS
BHARTIARTL,TELECOM,BHARTI AIRTEL
BPCL,ENERGY,BPCL
CIPLA,PHARMACEUTICALS,CIPLA
COALINDIA,MINING,COAL INDIA
DRREDDY,PHARMACEUTICALS,DR. REDDYS LAB
EICHERMOT,AUTOMOBILES,EICHER MOTORS
GRASIM,TEXTILES,GRASIM
HCLTECH,SOFTWARE,HCL TECHNOLOGIES
HDFCBANK,BANKING,HDFC BANK
HDFCLIFE,INSURANCE,HDFC LIFE INSURANCE
HEROMOTOCO,AUTOMOBILES,HERO MOTOCORP
HINDALCO,ALUMINIUM,HINDALCO
HINDUNILVR,FMCG,HINDUSTAN UNILEVER
ICICIBANK,BANKING,ICICI BANK
INDUSINDBK,BANKING,INDUSIND BANK
INFY,SOFTWARE,INFOSYS
IOC,ENERGY,IOC
ITC,FOOD & TOBACCO,ITC
JSWSTEEL,STEEL,JSW STEEL
KOTAKBANK,BANKING,KOTAK MAHINDRA BANK
LT,ENGINEERING,L&T
M&M,AUTOMOBILES,M&M
MARUTI,AUTOMOBILES,MARUTI SUZUKI
NESTLEIND,FOOD & TOBACCO,NESTLE
NTPC,POWER,NTPC
ONGC,ENERGY,ONGC
POWERGRID,POWER,POWER GRID
RELIANCE,ENERGY,RELIANCE IND.
SBIN,BANKING,SBI
SBILIFE,INSURANCE,SBI LIFE INSURANCE
SHRIRAMFIN,FINANCE,SHRIRAM FINANCE
SUNPHARMA,PHARMACEUTICALS,SUN PHARMA
TATACONSUM,FMCG,TATA CONSUMER
TATAMOTORS,AUTOMOBILES,TATA MOTORS
TATASTEEL,STEEL,TATA STEEL
TCS,SOFTWARE,TCS
TECHM,SOFTWARE,TECH MAHINDRA
TITAN,RETAILING,TITAN
TRENT,RETAILING,TRENT
ULTRACEMCO,CEMENT,ULTRATECH CEMENT
WIPRO,SOFTWARE,WIPRO
